name,primary_amide_sum,secondary_amide_sum,tertiary_amide_sum,ester_sum,carbonyl_sum,logP_sum,MR_sum,dbratio_sum,aromatic_rings_sum,dbonds_sum,abonds_sum,primary_amide_mean,secondary_amide_mean,tertiary_amide_mean,ester_mean,carbonyl_mean,logP_mean,MR_mean,dbratio_mean,aromatic_rings_mean,dbonds_mean,abonds_mean
HAWVIM_clean,0.0,0.0,0.0,2.0,2.0,-1.5249000000000001,34.353,-0.8333333333333334,1.0,2.0,5.0,0.0,0.0,0.0,2.0,2.0,-1.5249000000000001,34.353,-0.8333333333333334,1.0,2.0,5.0
QIXNES_clean,0.0,0.0,0.0,4.0,4.0,-3.7062000000000004,64.016,-0.9375,2.0,4.0,11.0,0.0,0.0,0.0,4.0,4.0,-3.7062000000000004,64.016,-0.9375,2.0,4.0,11.0
KUFTAI_clean,0.0,0.0,0.0,4.0,4.0,-1.1012000000000002,210.10399999999973,-0.9056603773584906,8.0,8.0,44.0,0.0,0.0,0.0,4.0,4.0,-1.1012000000000002,210.10399999999973,-0.9056603773584906,8.0,8.0,44.0
OPEGIA_clean,0.0,0.0,0.0,0.0,0.0,0.16919999999999993,14.242966666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.16919999999999993,14.242966666666666,0.0,0.0,0.6666666666666666,0.0
ic402692p_si_002_clean,0.0,0.0,0.0,3.0,3.0,-3.2229,41.493,-0.9,1.0,3.0,6.0,0.0,0.0,0.0,3.0,3.0,-3.2229,41.493,-0.9,1.0,3.0,6.0
KABXIW_clean,0.0,0.0,0.0,2.0,2.0,-1.1550000000000002,45.297999999999995,-0.8888888888888888,1.0,4.0,6.0,0.0,0.0,0.0,2.0,2.0,-1.1550000000000002,45.297999999999995,-0.8888888888888888,1.0,4.0,6.0
DEPXIG_clean,0.0,0.0,0.0,3.0,3.0,-3.2229,41.493,-0.9,1.0,3.0,6.0,0.0,0.0,0.0,3.0,3.0,-3.2229,41.493,-0.9,1.0,3.0,6.0
DACXUB_clean,0.0,0.0,0.0,2.0,2.0,-0.43320000000000025,53.982000000000006,-0.9285714285714286,2.0,2.0,11.0,0.0,0.0,0.0,2.0,2.0,-0.43320000000000025,53.982000000000006,-0.9285714285714286,2.0,2.0,11.0
MUNLUE_clean,0.0,0.0,0.0,2.0,2.0,-1.3844,44.7226,-0.4722222222222222,1.5,2.0,8.5,0.0,0.0,0.0,2.0,2.0,-1.3844,44.7226,-0.4722222222222222,1.5,2.0,8.5
EHAFIE_clean,0.0,0.0,0.0,4.0,4.0,-4.859400000000001,46.51,-0.9090909090909091,1.0,4.0,6.0,0.0,0.0,0.0,4.0,4.0,-4.859400000000001,46.51,-0.9090909090909091,1.0,4.0,6.0
