color_string,hex,starttime,time_stamp,delta_t,delta_t_seconds,r,g,b,clean_name
pink-red,#ff008b,2020-02-11 20:00:57.000000,2020-02-11 20:01:20.082729,0 days 00:00:23.082729000,23.082729,255,0,139,pink red
golden yellow,#f9e139,2020-02-11 20:01:20.000000,2020-02-11 20:01:51.096603,0 days 00:00:31.096603000,31.096603,249,225,57,golden yellow
turquoise blue,#51ddd6,2020-02-11 20:44:53.000000,2020-02-11 20:45:44.933477,0 days 00:00:51.933477000,51.933477,81,221,214,turquoise blue
red-orange,#ef5835,2020-02-11 20:45:44.000000,2020-02-11 20:46:03.307037,0 days 00:00:19.307037000,19.307037,239,88,53,red orange
dull dark black,#474746,2020-02-11 20:46:03.000000,2020-02-11 20:46:24.352795,0 days 00:00:21.352795000,21.352795,71,71,70,dull dark black
yellowish yellow,#e8f59b,2020-02-11 20:46:24.000000,2020-02-11 20:46:45.877997,0 days 00:00:21.877997000,21.877997,232,245,155,yellowish yellow
whiteish colorless,#f4f0f1,2020-02-11 20:46:45.000000,2020-02-11 20:47:18.802301,0 days 00:00:33.802301000,33.802301,244,240,241,whiteish colorless
pale yellow,#f6f6bd,2020-02-11 20:53:14.000000,2020-02-11 20:54:11.530893,0 days 00:00:57.530893000,57.530893,246,246,189,pale yellow
light pink,#f57ad3,2020-02-11 21:01:01.000000,2020-02-11 21:01:16.933785,0 days 00:00:15.933785000,15.933785,245,122,211,light pink
red purple,#9f075c,2020-02-11 21:01:16.000000,2020-02-11 21:01:27.305760,0 days 00:00:11.305760000,11.30576,159,7,92,red purple
dark-red,#7b0d05,2020-02-11 21:01:27.000000,2020-02-11 21:02:20.875386,0 days 00:00:53.875386000,53.875386,123,13,5,dark red
black green,#054b00,2020-02-11 21:02:20.000000,2020-02-11 21:02:37.895674,0 days 00:00:17.895674000,17.895674,5,75,0,black green
brown,#473000,2020-02-11 21:02:37.000000,2020-02-11 21:02:50.721243,0 days 00:00:13.721243000,13.721243,71,48,0,brown
blue green,#34f7f7,2020-02-11 21:19:16.000000,2020-02-11 21:19:52.389185,0 days 00:00:36.389185000,36.389185,52,247,247,blue green
dark red,#7c060f,2020-02-11 21:28:42.000000,2020-02-11 21:29:21.167746,0 days 00:00:39.167746000,39.167746,124,6,15,dark red
