color_string,hex,starttime,time_stamp,delta_t,delta_t_seconds,r,g,b,clean_name
green,#179a1f,2020-02-11 23:43:54.000000,2020-02-11 23:44:12.260561,0 days 00:00:18.260561000,18.260561,23,154,31,green
turquoise blue,#43b0f2,2020-02-12 06:25:02.000000,2020-02-12 06:25:16.385758,0 days 00:00:14.385758000,14.385758,67,176,242,turquoise blue
green-black,#52664a,2020-02-12 06:25:16.000000,2020-02-12 06:25:26.899792,0 days 00:00:10.899792000,10.899792,82,102,74,green black
intense purple,#590a65,2020-02-12 06:25:26.000000,2020-02-12 06:25:36.648141,0 days 00:00:10.648141000,10.648141,89,10,101,intense purple
deep blue,#1206f2,2020-02-12 06:25:36.000000,2020-02-12 06:25:44.393451,0 days 00:00:08.393451000,8.393451,18,6,242,deep blue
red-violet,#cb0861,2020-02-12 06:25:44.000000,2020-02-12 06:25:50.172224,0 days 00:00:06.172224000,6.172224,203,8,97,red violet
light colorless,#ffffff,2020-02-12 06:26:58.000000,2020-02-12 06:27:17.229407,0 days 00:00:19.229407000,19.229407,255,255,255,light colorless
violet,#f405b2,2020-02-12 06:27:17.000000,2020-02-12 06:27:22.883879,0 days 00:00:05.883879000,5.883879,244,5,178,violet
green,#04590f,2020-02-12 06:27:22.000000,2020-02-12 06:27:28.922166,0 days 00:00:06.922166000,6.922166,4,89,15,green
light green,#1fd033,2020-02-12 06:27:28.000000,2020-02-12 06:27:34.752006,0 days 00:00:06.752006000,6.752006,31,208,51,light green
scarlet,#f00659,2020-02-12 06:27:34.000000,2020-02-12 06:27:41.192374,0 days 00:00:07.192374000,7.192374,240,6,89,scarlet
,#f1f8ff,,2020-02-12 06:51:17.321114,,,241,248,255,nan
,#f1f8ff,,2020-02-12 06:51:18.921759,,,241,248,255,nan
,#f1f8ff,,2020-02-12 06:51:19.922193,,,241,248,255,nan
,#f1f8ff,,2020-02-12 06:51:21.127822,,,241,248,255,nan
,#f1f8ff,,2020-02-12 06:51:22.358673,,,241,248,255,nan
,#f9fff1,,2020-02-12 06:51:25.897702,,,249,255,241,nan
,#000000,,2020-02-12 06:51:44.294087,,,0,0,0,nan
,#000000,,2020-02-12 06:51:44.848064,,,0,0,0,nan
purple,#691dab,2020-02-12 07:02:16.000000,2020-02-12 07:03:57.956740,0 days 00:01:41.956740000,101.95674,105,29,171,purple
light orange,#b56c30,2020-02-12 07:03:57.000000,2020-02-12 07:04:20.973025,0 days 00:00:23.973025000,23.973025,181,108,48,light orange
light red,#f96166,2020-02-12 07:04:20.000000,2020-02-12 07:04:31.742477,0 days 00:00:11.742477000,11.742477,249,97,102,light red
sky blue,#9caee6,2020-02-12 07:04:31.000000,2020-02-12 07:04:46.683494,0 days 00:00:15.683494000,15.683494,156,174,230,sky blue
whiteish colorless,#fdfdfd,2020-02-12 07:04:46.000000,2020-02-12 07:05:26.936325,0 days 00:00:40.936325000,40.936325,253,253,253,whiteish colorless
greenish green,#1df800,2020-02-12 09:18:19.000000,2020-02-12 09:19:03.356995,0 days 00:00:44.356995000,44.356995,29,248,0,greenish green
dark purple,#430258,2020-02-12 09:19:03.000000,2020-02-12 09:19:22.670644,0 days 00:00:19.670644000,19.670644,67,2,88,dark purple
greenish cyan,#39f6d2,2020-02-12 09:19:22.000000,2020-02-12 09:19:58.447328,0 days 00:00:36.447328000,36.447328,57,246,210,greenish cyan
light orange,#f6bf00,2020-02-12 09:19:58.000000,2020-02-12 09:20:44.056179,0 days 00:00:46.056179000,46.056179,246,191,0,light orange
lavender,#61CDB4,2020-02-12 09:20:44.000000,2020-02-12 09:20:44.855879,0 days 00:00:00.855879000,0.855879,97,205,180,lavender
flavescens,#d26596,2020-02-12 09:40:21.000000,2020-02-12 09:41:17.917734,0 days 00:00:56.917734000,56.917734,210,101,150,flavescens
red,#f20f0f,2020-02-12 09:41:17.000000,2020-02-12 09:41:37.925482,0 days 00:00:20.925482000,20.925482,242,15,15,red
dark yellow,#e2a101,2020-02-12 09:41:37.000000,2020-02-12 09:41:58.529707,0 days 00:00:21.529707000,21.529707,226,161,1,dark yellow
dark blue,#3119a0,2020-02-12 09:41:58.000000,2020-02-12 09:42:08.482126,0 days 00:00:10.482126000,10.482126,49,25,160,dark blue
green,#159916,2020-02-12 09:42:08.000000,2020-02-12 09:42:14.934020,0 days 00:00:06.934020000,6.93402,21,153,22,green
deep blue,#0b08f4,2020-02-12 10:10:38.000000,2020-02-12 10:10:49.658531,0 days 00:00:11.658531000,11.658531,11,8,244,deep blue
buff,#F05DF8,2020-02-12 10:10:49.000000,2020-02-12 10:10:54.820752,0 days 00:00:05.820752000,5.820752,240,93,248,buff
claybank,#bcae37,2020-02-12 10:10:54.000000,2020-02-12 10:11:07.774050,0 days 00:00:13.774050000,13.77405,188,174,55,claybank
gray,#a4aaa4,2020-02-12 10:11:07.000000,2020-02-12 10:11:17.194803,0 days 00:00:10.194803000,10.194803,164,170,164,gray
buff,#64DD19,2020-02-12 10:11:17.000000,2020-02-12 10:11:20.107199,0 days 00:00:03.107199000,3.107199,100,221,25,buff
dark violet,#2d0067,2020-02-12 14:47:46.000000,2020-02-12 14:48:27.375438,0 days 00:00:41.375438000,41.375438,45,0,103,dark violet
green-black,#0d2001,2020-02-12 14:48:27.000000,2020-02-12 14:48:43.271022,0 days 00:00:16.271022000,16.271022,13,32,1,green black
slightly pink,#fef0ff,2020-02-12 14:48:43.000000,2020-02-12 14:48:54.897735,0 days 00:00:11.897735000,11.897735,254,240,255,slightly pink
red-black,#3a0002,2020-02-12 14:48:54.000000,2020-02-12 14:49:09.064400,0 days 00:00:15.064400000,15.0644,58,0,2,red black
deep brown,#542e0f,2020-02-12 14:49:09.000000,2020-02-12 14:49:27.671626,0 days 00:00:18.671626000,18.671626,84,46,15,deep brown
violet red,#830030,2020-02-12 16:24:36.000000,2020-02-12 16:25:20.034029,0 days 00:00:44.034029000,44.034029,131,0,48,violet red
green,#1fa700,2020-02-12 16:25:20.000000,2020-02-12 16:25:32.241076,0 days 00:00:12.241076000,12.241076,31,167,0,green
greenish cyan,#00edb3,2020-02-12 16:25:32.000000,2020-02-12 16:25:53.215916,0 days 00:00:21.215916000,21.215916,0,237,179,greenish cyan
light colorless,#ffffff,2020-02-12 16:25:53.000000,2020-02-12 16:26:10.568565,0 days 00:00:17.568565000,17.568565,255,255,255,light colorless
deep purple,#7600c1,2020-02-12 16:26:10.000000,2020-02-12 16:26:36.639547,0 days 00:00:26.639547000,26.639547,118,0,193,deep purple
violet,#c882e9,2020-02-12 17:06:59.000000,2020-02-12 17:09:46.890744,0 days 00:02:47.890744000,167.890744,200,130,233,violet
dark green,#02593b,2020-02-12 17:09:46.000000,2020-02-12 17:10:02.127265,0 days 00:00:16.127265000,16.127265,2,89,59,dark green
colorless,#f5f6f4,2020-02-12 17:10:02.000000,2020-02-12 17:10:14.038450,0 days 00:00:12.038450000,12.03845,245,246,244,colorless
red-orange,#f05418,2020-02-12 17:10:14.000000,2020-02-12 17:10:26.649991,0 days 00:00:12.649991000,12.649991,240,84,24,red orange
rose,#f5aee2,2020-02-12 17:10:26.000000,2020-02-12 17:10:37.094600,0 days 00:00:11.094600000,11.0946,245,174,226,rose
purple red,#ef2ee5,2020-02-12 20:40:53.000000,2020-02-12 21:08:57.860213,0 days 00:28:04.860213000,1684.860213,239,46,229,purple red
dark orange,#ff5b26,2020-02-12 21:08:57.000000,2020-02-12 21:09:14.290818,0 days 00:00:17.290818000,17.290818,255,91,38,dark orange
light colorless,#ffffff,2020-02-12 21:09:14.000000,2020-02-12 21:09:35.809537,0 days 00:00:21.809537000,21.809537,255,255,255,light colorless
dark purple,#764bca,2020-02-12 21:09:35.000000,2020-02-12 21:09:44.833192,0 days 00:00:09.833192000,9.833192,118,75,202,dark purple
rose,#b5214d,2020-02-12 21:09:44.000000,2020-02-12 21:09:52.647112,0 days 00:00:08.647112000,8.647112,181,33,77,rose
dark-red,#930305,2020-02-13 09:46:59.000000,2020-02-13 09:47:16.165885,0 days 00:00:17.165885000,17.165885,147,3,5,dark red
pale yellow,#f6f4d1,2020-02-13 09:47:16.000000,2020-02-13 09:47:26.602878,0 days 00:00:10.602878000,10.602878,246,244,209,pale yellow
pale pink,#f8dfed,2020-02-13 09:47:26.000000,2020-02-13 09:47:43.131780,0 days 00:00:17.131780000,17.13178,248,223,237,pale pink
yellowish yellow,#f6e46f,2020-02-13 09:47:43.000000,2020-02-13 09:47:55.214872,0 days 00:00:12.214872000,12.214872,246,228,111,yellowish yellow
brown-red,#692110,2020-02-13 09:47:55.000000,2020-02-13 09:48:37.225096,0 days 00:00:42.225096000,42.225096,105,33,16,brown red
gray,#1b8f8f,2020-02-13 12:35:23.000000,2020-02-13 12:35:34.894316,0 days 00:00:11.894316000,11.894316,27,143,143,gray
pale-yellow,#f6f7b8,2020-02-13 12:35:34.000000,2020-02-13 12:36:46.665058,0 days 00:01:12.665058000,72.665058,246,247,184,pale yellow
,#ddc6f9,,2020-02-13 13:50:46.513047,,,221,198,249,nan
,#ddc6f9,,2020-02-13 13:50:46.527312,,,221,198,249,nan
amber,#ddc6f9,2020-02-13 13:50:46.000000,2020-02-13 13:50:49.256730,0 days 00:00:03.256730000,3.25673,221,198,249,amber
light violet,#ddc6f9,2020-02-13 13:50:49.000000,2020-02-13 13:50:55.515860,0 days 00:00:06.515860000,6.51586,221,198,249,light violet
light green,#ddc6f9,2020-02-13 13:50:55.000000,2020-02-13 13:51:01.490165,0 days 00:00:06.490165000,6.490165,221,198,249,light green
dark violet,#ddc6f9,2020-02-13 13:51:01.000000,2020-02-13 13:51:06.199652,0 days 00:00:05.199652000,5.199652,221,198,249,dark violet
colorless,#ddc6f9,2020-02-13 13:51:06.000000,2020-02-13 13:51:15.538204,0 days 00:00:09.538204000,9.538204,221,198,249,colorless
deep red,#ec0100,2020-02-13 17:52:22.000000,2020-02-13 17:53:01.752266,0 days 00:00:39.752266000,39.752266,236,1,0,deep red
jasmine,#f8eab6,2020-02-13 17:53:01.000000,2020-02-13 17:53:48.449485,0 days 00:00:47.449485000,47.449485,248,234,182,jasmine
light green,#05fc89,2020-02-13 17:53:48.000000,2020-02-13 17:54:00.119075,0 days 00:00:12.119075000,12.119075,5,252,137,light green
yellow-red,#ffbc5d,2020-02-13 17:54:00.000000,2020-02-13 17:54:19.687525,0 days 00:00:19.687525000,19.687525,255,188,93,yellow red
yellow,#fbff00,2020-02-13 17:54:19.000000,2020-02-13 17:54:30.259773,0 days 00:00:11.259773000,11.259773,251,255,0,yellow
light-purple,#6fa5d5,2020-02-14 10:21:14.000000,2020-02-14 10:21:27.896330,0 days 00:00:13.896330000,13.89633,111,165,213,light purple
yellow green,#1eb058,2020-02-14 10:21:27.000000,2020-02-14 10:21:42.842220,0 days 00:00:15.842220000,15.84222,30,176,88,yellow green
deep green,#15D35C,2020-02-14 10:21:42.000000,2020-02-14 10:21:47.060149,0 days 00:00:05.060149000,5.060149,21,211,92,deep green
pale straw,#7f6c9f,2020-02-14 10:21:47.000000,2020-02-14 10:21:53.009256,0 days 00:00:06.009256000,6.009256,127,108,159,pale straw
blackish purple,#331a3b,2020-02-16 13:35:30.000000,2020-02-16 13:35:48.145658,0 days 00:00:18.145658000,18.145658,51,26,59,blackish purple
orange,#f69003,2020-02-16 13:35:48.000000,2020-02-16 13:36:16.601137,0 days 00:00:28.601137000,28.601137,246,144,3,orange
purple-blue,#312f97,2020-02-16 13:36:16.000000,2020-02-16 13:36:48.605416,0 days 00:00:32.605416000,32.605416,49,47,151,purple blue
reddish brown,#5d1604,2020-02-16 13:36:48.000000,2020-02-16 13:37:18.417030,0 days 00:00:30.417030000,30.41703,93,22,4,reddish brown
azure,#28c3de,2020-02-16 13:37:18.000000,2020-02-16 13:37:42.397312,0 days 00:00:24.397312000,24.397312,40,195,222,azure
red-brown,#380e01,2020-02-16 21:11:20.000000,2020-02-16 21:12:30.934017,0 days 00:01:10.934017000,70.934017,56,14,1,red brown
brown-red,#480c00,2020-02-16 21:12:30.000000,2020-02-16 21:13:36.345546,0 days 00:01:06.345546000,66.345546,72,12,0,brown red
bluish violet,#6960c0,2020-02-16 21:13:36.000000,2020-02-16 21:14:43.626717,0 days 00:01:07.626717000,67.626717,105,96,192,bluish violet
red-orange,#e2450a,2020-02-16 21:14:43.000000,2020-02-16 21:15:18.811118,0 days 00:00:35.811118000,35.811118,226,69,10,red orange
brown-yellow,#756e03,2020-02-16 21:15:18.000000,2020-02-16 21:16:47.780759,0 days 00:01:29.780759000,89.780759,117,110,3,brown yellow
deep brown,#f7ddbd,2020-02-17 08:22:11.000000,2020-02-17 08:22:53.760585,0 days 00:00:42.760585000,42.760585,247,221,189,deep brown
turquoise blue,#2cb5a3,2020-02-18 13:43:50.000000,2020-02-18 13:44:15.663414,0 days 00:00:25.663414000,25.663414,44,181,163,turquoise blue
jasmine,#e9afc9,2020-02-18 13:44:15.000000,2020-02-18 13:44:20.193702,0 days 00:00:05.193702000,5.193702,233,175,201,jasmine
azure,#26b8d0,2020-02-18 13:44:20.000000,2020-02-18 13:44:27.078120,0 days 00:00:07.078120000,7.07812,38,184,208,azure
crimson,#672E72,2020-02-18 13:44:27.000000,2020-02-18 13:44:30.501601,0 days 00:00:03.501601000,3.501601,103,46,114,crimson
blue,#1e1dfb,2020-02-18 13:43:55.000000,2020-02-18 13:44:34.410526,0 days 00:00:39.410526000,39.410526,30,29,251,blue
dark blue,#161887,2020-02-18 13:44:17.000000,2020-02-18 13:44:37.974453,0 days 00:00:20.974453000,20.974453,22,24,135,dark blue
light green,#50f93e,2020-02-18 13:44:17.000000,2020-02-18 13:44:39.261596,0 days 00:00:22.261596000,22.261596,80,249,62,light green
purple-blue,#5227ea,2020-02-18 13:44:16.000000,2020-02-18 13:44:39.431976,0 days 00:00:23.431976000,23.431976,82,39,234,purple blue
pale violet,#a365f5,2020-02-18 13:44:07.000000,2020-02-18 13:44:40.714910,0 days 00:00:33.714910000,33.71491,163,101,245,pale violet
wheat,#f7cc64,2020-02-18 13:44:10.000000,2020-02-18 13:44:40.846072,0 days 00:00:30.846072000,30.846072,247,204,100,wheat
intense violet,#e7008e,2020-02-18 13:44:02.000000,2020-02-18 13:44:42.709213,0 days 00:00:40.709213000,40.709213,231,0,142,intense violet
yellowish white,#e1e89b,2020-02-18 13:44:30.000000,2020-02-18 13:44:47.013244,0 days 00:00:17.013244000,17.013244,225,232,155,yellowish white
dark brown,#482601,2020-02-18 13:44:22.000000,2020-02-18 13:44:47.406488,0 days 00:00:25.406488000,25.406488,72,38,1,dark brown
green yellow,#b5f124,2020-02-18 13:44:20.000000,2020-02-18 13:44:48.670936,0 days 00:00:28.670936000,28.670936,181,241,36,green yellow
green-yellow,#a8d20f,2020-02-18 13:44:12.000000,2020-02-18 13:44:49.319791,0 days 00:00:37.319791000,37.319791,168,210,15,green yellow
intense purple,#9d08dc,2020-02-18 13:44:34.000000,2020-02-18 13:44:50.089370,0 days 00:00:16.089370000,16.08937,157,8,220,intense purple
green/brown,#2b3b06,2020-02-18 13:44:15.000000,2020-02-18 13:44:51.752404,0 days 00:00:36.752404000,36.752404,43,59,6,green/brown
orange-red,#ff5200,2020-02-18 13:44:31.000000,2020-02-18 13:44:52.193671,0 days 00:00:21.193671000,21.193671,255,82,0,orange red
pale blue,#c9e7f2,2020-02-18 13:44:40.000000,2020-02-18 13:44:54.425639,0 days 00:00:14.425639000,14.425639,201,231,242,pale blue
purple-blue,#880bfa,2020-02-18 13:44:37.000000,2020-02-18 13:44:55.896153,0 days 00:00:18.896153000,18.896153,136,11,250,purple blue
light violet,#e765f9,2020-02-18 13:44:39.000000,2020-02-18 13:44:56.010997,0 days 00:00:17.010997000,17.010997,231,101,249,light violet
light yellow,#f5fc82,2020-02-18 13:44:37.000000,2020-02-18 13:44:56.307397,0 days 00:00:19.307397000,19.307397,245,252,130,light yellow
orange-red,#e0540d,2020-02-18 13:44:02.000000,2020-02-18 13:44:56.979395,0 days 00:00:54.979395000,54.979395,224,84,13,orange red
deep-blue,#040a51,2020-02-18 13:44:23.000000,2020-02-18 13:44:57.338292,0 days 00:00:34.338292000,34.338292,4,10,81,deep blue
red-orange,#db4007,2020-02-18 13:44:40.000000,2020-02-18 13:44:57.716270,0 days 00:00:17.716270000,17.71627,219,64,7,red orange
lavender,#c393d8,2020-02-18 13:44:39.000000,2020-02-18 13:44:59.906554,0 days 00:00:20.906554000,20.906554,195,147,216,lavender
dark blue,#0a0457,2020-02-18 13:44:48.000000,2020-02-18 13:45:01.342481,0 days 00:00:13.342481000,13.342481,10,4,87,dark blue
beige,#ebcfb8,2020-02-18 13:44:14.000000,2020-02-18 13:45:02.546247,0 days 00:00:48.546247000,48.546247,235,207,184,beige
white,#efefef,2020-02-18 13:44:51.000000,2020-02-18 13:45:04.305277,0 days 00:00:13.305277000,13.305277,239,239,239,white
bright yellow,#fff800,2020-02-18 13:44:54.000000,2020-02-18 13:45:04.519470,0 days 00:00:10.519470000,10.51947,255,248,0,bright yellow
claybank,#f3bd0d,2020-02-18 13:44:55.000000,2020-02-18 13:45:05.401600,0 days 00:00:10.401600000,10.4016,243,189,13,claybank
dark rose,#9c6f92,2020-02-18 13:44:43.000000,2020-02-18 13:45:05.989693,0 days 00:00:22.989693000,22.989693,156,111,146,dark rose
orange-red,#ff4700,2020-02-18 13:44:52.000000,2020-02-18 13:45:06.838178,0 days 00:00:14.838178000,14.838178,255,71,0,orange red
dark purple,#73038d,2020-02-18 13:45:04.000000,2020-02-18 13:45:10.371268,0 days 00:00:06.371268000,6.371268,115,3,141,dark purple
violet,#b63591,2020-02-18 13:44:39.000000,2020-02-18 13:45:10.673373,0 days 00:00:31.673373000,31.673373,182,53,145,violet
green/brown,#b4bba7,2020-02-18 13:44:25.000000,2020-02-18 13:45:11.653963,0 days 00:00:46.653963000,46.653963,180,187,167,green/brown
yellowish,#fafb59,2020-02-18 13:44:56.000000,2020-02-18 13:45:11.865576,0 days 00:00:15.865576000,15.865576,250,251,89,yellowish
white,#fef7f6,2020-02-18 13:44:47.000000,2020-02-18 13:45:12.193900,0 days 00:00:25.193900000,25.1939,254,247,246,white
buff,#715478,2020-02-18 13:45:05.000000,2020-02-18 13:45:12.888635,0 days 00:00:07.888635000,7.888635,113,84,120,buff
yellow green,#cdfa37,2020-02-18 13:44:32.000000,2020-02-18 13:45:13.678453,0 days 00:00:41.678453000,41.678453,205,250,55,yellow green
black red,#560407,2020-02-18 13:44:57.000000,2020-02-18 13:45:14.745386,0 days 00:00:17.745386000,17.745386,86,4,7,black red
dark-blue,#291394,2020-02-18 13:44:38.000000,2020-02-18 13:45:15.363402,0 days 00:00:37.363402000,37.363402,41,19,148,dark blue
deep blue,#0200ff,2020-02-18 13:45:06.000000,2020-02-18 13:45:15.856151,0 days 00:00:09.856151000,9.856151,2,0,255,deep blue
light orange,#f9c681,2020-02-18 13:44:59.000000,2020-02-18 13:45:17.573148,0 days 00:00:18.573148000,18.573148,249,198,129,light orange
light pink,#7D9D35,2020-02-18 13:45:11.000000,2020-02-18 13:45:17.852404,0 days 00:00:06.852404000,6.852404,125,157,53,light pink
aubergine,#b432fa,2020-02-18 13:44:58.000000,2020-02-18 13:45:17.977474,0 days 00:00:19.977474000,19.977474,180,50,250,aubergine
light-brown,#544e38,2020-02-18 13:44:35.000000,2020-02-18 13:45:18.368532,0 days 00:00:43.368532000,43.368532,84,78,56,light brown
primrose yellow,#f4ee9f,2020-02-18 13:44:49.000000,2020-02-18 13:45:19.376661,0 days 00:00:30.376661000,30.376661,244,238,159,primrose yellow
pale pink,#f397db,2020-02-18 13:44:56.000000,2020-02-18 13:45:19.665217,0 days 00:00:23.665217000,23.665217,243,151,219,pale pink
dark violet,#6b33aa,2020-02-18 13:45:03.000000,2020-02-18 13:45:20.576651,0 days 00:00:17.576651000,17.576651,107,51,170,dark violet
blackish purple,#c007c2,2020-02-18 13:45:05.000000,2020-02-18 13:45:21.278888,0 days 00:00:16.278888000,16.278888,192,7,194,blackish purple
dark yellow,#ffa70a,2020-02-18 13:45:04.000000,2020-02-18 13:45:21.311358,0 days 00:00:17.311358000,17.311358,255,167,10,dark yellow
straw yellow,#e4d56f,2020-02-18 13:44:50.000000,2020-02-18 13:45:21.640748,0 days 00:00:31.640748000,31.640748,228,213,111,straw yellow
dark yellow,#c9b98f,2020-02-18 13:44:57.000000,2020-02-18 13:45:22.992054,0 days 00:00:25.992054000,25.992054,201,185,143,dark yellow
dark-red,#550204,2020-02-18 13:45:12.000000,2020-02-18 13:45:25.239891,0 days 00:00:13.239891000,13.239891,85,2,4,dark red
red brown,#660202,2020-02-18 13:45:01.000000,2020-02-18 13:45:25.915835,0 days 00:00:24.915835000,24.915835,102,2,2,red brown
glaucous,#69c3ad,2020-02-18 13:45:02.000000,2020-02-18 13:45:26.152832,0 days 00:00:24.152832000,24.152832,105,195,173,glaucous
light pink,#f9bcd9,2020-02-18 13:45:05.000000,2020-02-18 13:45:26.797617,0 days 00:00:21.797617000,21.797617,249,188,217,light pink
brown,#601e01,2020-02-18 13:45:10.000000,2020-02-18 13:45:28.389948,0 days 00:00:18.389948000,18.389948,96,30,1,brown
pale purple,#edd9fa,2020-02-18 13:45:17.000000,2020-02-18 13:45:29.751996,0 days 00:00:12.751996000,12.751996,237,217,250,pale purple
lilac,#e0b7f6,2020-02-18 13:45:20.000000,2020-02-18 13:45:30.590279,0 days 00:00:10.590279000,10.590279,224,183,246,lilac
blackish purple,#3a0242,2020-02-18 13:45:14.000000,2020-02-18 13:45:30.975892,0 days 00:00:16.975892000,16.975892,58,2,66,blackish purple
light brown,#735508,2020-02-18 13:45:21.000000,2020-02-18 13:45:32.996271,0 days 00:00:11.996271000,11.996271,115,85,8,light brown
yellowish white,#f9f9e7,2020-02-18 13:44:30.000000,2020-02-18 13:45:33.707675,0 days 00:01:03.707675000,63.707675,249,249,231,yellowish white
light violet,#b76ff7,2020-02-18 13:44:40.000000,2020-02-18 13:45:34.501665,0 days 00:00:54.501665000,54.501665,183,111,247,light violet
cherry red,#e38f90,2020-02-18 13:45:22.000000,2020-02-18 13:45:34.561122,0 days 00:00:12.561122000,12.561122,227,143,144,cherry red
gold,#ffc000,2020-02-18 13:45:15.000000,2020-02-18 13:45:35.187736,0 days 00:00:20.187736000,20.187736,255,192,0,gold
grass green,#19f91b,2020-02-18 13:45:17.000000,2020-02-18 13:45:37.281322,0 days 00:00:20.281322000,20.281322,25,249,27,grass green
red purple,#db0c64,2020-02-18 13:45:04.000000,2020-02-18 13:45:37.288198,0 days 00:00:33.288198000,33.288198,219,12,100,red purple
black,#000000,2020-02-18 13:45:13.000000,2020-02-18 13:45:37.534689,0 days 00:00:24.534689000,24.534689,0,0,0,black
brown-yellow,#e5b86a,2020-02-18 13:45:19.000000,2020-02-18 13:45:38.127463,0 days 00:00:19.127463000,19.127463,229,184,106,brown yellow
blue green,#037147,2020-02-18 13:45:11.000000,2020-02-18 13:45:40.167616,0 days 00:00:29.167616000,29.167616,3,113,71,blue green
